Binary representation,Error,Features selected,Lookup value,Penalty factor
0101000000010000,0.791,"(1, 3, 11)",1.166,0.125
0101000000001000,0.7728333333333334,"(1, 3, 12)",1.1478333333333333,0.125
0101000000000100,0.787,"(1, 3, 13)",1.162,0.125
0101000000000010,0.7993333333333333,"(1, 3, 14)",1.1743333333333332,0.125
0101000000000001,0.852,"(1, 3, 15)",1.2269999999999999,0.125
0100110000000000,0.7838333333333334,"(1, 4, 5)",1.1588333333333334,0.125
0100101000000000,0.7444999999999999,"(1, 4, 6)",1.1195,0.125
0100100100000000,0.7471666666666666,"(1, 4, 7)",1.1221666666666668,0.125
0100100010000000,0.7235,"(1, 4, 8)",1.0985,0.125
0100100001000000,0.7805,"(1, 4, 9)",1.1555,0.125
0100100000100000,0.7413333333333334,"(1, 4, 10)",1.1163333333333334,0.125
0100100000010000,0.7476666666666667,"(1, 4, 11)",1.1226666666666667,0.125
0100100000001000,0.7446666666666666,"(1, 4, 12)",1.1196666666666666,0.125
0100100000000100,0.7291666666666667,"(1, 4, 13)",1.1041666666666667,0.125
0100100000000010,0.727,"(1, 4, 14)",1.1019999999999999,0.125
0100100000000001,0.8035,"(1, 4, 15)",1.1785,0.125
0100011000000000,0.7333333333333334,"(1, 5, 6)",1.1083333333333334,0.125
0100010100000000,0.7073333333333334,"(1, 5, 7)",1.0823333333333334,0.125
0100010010000000,0.7241666666666666,"(1, 5, 8)",1.0991666666666666,0.125
0100010001000000,0.7284999999999999,"(1, 5, 9)",1.1035,0.125
0100010000100000,0.7155,"(1, 5, 10)",1.0905,0.125
0100010000010000,0.7058333333333333,"(1, 5, 11)",1.0808333333333333,0.125
0100010000001000,0.6785,"(1, 5, 12)",1.0535,0.125
0100010000000100,0.7218333333333333,"(1, 5, 13)",1.0968333333333333,0.125
0100010000000010,0.708,"(1, 5, 14)",1.083,0.125
0100010000000001,0.7538333333333334,"(1, 5, 15)",1.1288333333333334,0.125
0100001100000000,0.6658333333333333,"(1, 6, 7)",1.0408333333333333,0.125
0100001010000000,0.6501666666666667,"(1, 6, 8)",1.0251666666666668,0.125
0100001001000000,0.7038333333333333,"(1, 6, 9)",1.0788333333333333,0.125
0100001000100000,0.6835,"(1, 6, 10)",1.0585,0.125
0100001000010000,0.6595,"(1, 6, 11)",1.0345,0.125
0100001000001000,0.625,"(1, 6, 12)",1.0,0.125
0100001000000100,0.7078333333333333,"(1, 6, 13)",1.0828333333333333,0.125
0100001000000010,0.6498333333333333,"(1, 6, 14)",1.0248333333333333,0.125
0100001000000001,0.7211666666666667,"(1, 6, 15)",1.0961666666666667,0.125
0100000110000000,0.6278333333333334,"(1, 7, 8)",1.0028333333333332,0.125
0100000101000000,0.6558333333333333,"(1, 7, 9)",1.0308333333333333,0.125
0100000100100000,0.6446666666666667,"(1, 7, 10)",1.0196666666666667,0.125
0100000100010000,0.681,"(1, 7, 11)",1.056,0.125
0100000100001000,0.6378333333333333,"(1, 7, 12)",1.0128333333333333,0.125
0100000100000100,0.6831666666666667,"(1, 7, 13)",1.0581666666666667,0.125
0100000100000010,0.6323333333333334,"(1, 7, 14)",1.0073333333333334,0.125
0100000100000001,0.7404999999999999,"(1, 7, 15)",1.1155,0.125
0100000011000000,0.6951666666666667,"(1, 8, 9)",1.0701666666666667,0.125
0100000010100000,0.6383333333333333,"(1, 8, 10)",1.0133333333333332,0.125
0100000010010000,0.6825,"(1, 8, 11)",1.0575,0.125
0100000010001000,0.6396666666666666,"(1, 8, 12)",1.0146666666666666,0.125
0100000010000100,0.6606666666666667,"(1, 8, 13)",1.0356666666666667,0.125
0100000010000010,0.6276666666666666,"(1, 8, 14)",1.0026666666666666,0.125
0100000010000001,0.7344999999999999,"(1, 8, 15)",1.1095,0.125
0100000001100000,0.6733333333333333,"(1, 9, 10)",1.0483333333333333,0.125
0100000001010000,0.6841666666666666,"(1, 9, 11)",1.0591666666666666,0.125
0100000001001000,0.6818333333333333,"(1, 9, 12)",1.0568333333333333,0.125
0100000001000100,0.69,"(1, 9, 13)",1.065,0.125
0100000001000010,0.6605,"(1, 9, 14)",1.0354999999999999,0.125
0100000001000001,0.7328333333333333,"(1, 9, 15)",1.1078333333333332,0.125
0100000000110000,0.6435,"(1, 10, 11)",1.0185,0.125
0100000000101000,0.6048333333333333,"(1, 10, 12)",0.9798333333333333,0.125
0100000000100100,0.6801666666666666,"(1, 10, 13)",1.0551666666666666,0.125
0100000000100010,0.6593333333333333,"(1, 10, 14)",1.0343333333333333,0.125
0100000000100001,0.7136666666666667,"(1, 10, 15)",1.0886666666666667,0.125
0100000000011000,0.6431666666666667,"(1, 11, 12)",1.0181666666666667,0.125
